Date,Open,High,Low,Close,Adj Close,Volume
2019-11-18,297.600006,307.380005,288.049988,291.829987,287.144348,8363100
2019-11-25,291.000000,294.290009,286.850006,288.660004,284.025269,5618100
2019-12-02,289.619995,292.230011,280.850006,285.269989,280.689697,5839600
2019-12-09,285.429993,288.619995,279.649994,284.119995,280.341827,5230000
2019-12-16,285.700012,303.320007,285.019989,303.000000,298.970734,8998300
2019-12-23,303.100006,306.600006,300.440002,306.420013,302.345306,2730800
2019-12-30,306.540009,306.570007,293.679993,296.880005,292.932159,3935000
2020-01-06,295.750000,309.100006,294.609985,307.739990,303.647705,7179500
2020-01-13,306.880005,307.000000,294.820007,305.390015,301.328979,6242000
2020-01-20,303.940002,308.230011,295.420013,297.279999,293.326813,4168400
2020-01-27,293.630005,293.809998,261.690002,265.279999,261.752350,13781300
2020-02-03,266.109985,293.179993,262.790009,276.480011,272.803436,9145500
2020-02-10,275.880005,300.859985,273.779999,297.820007,293.859650,9054700
2020-02-17,297.450012,304.519989,290.170013,294.709991,290.791016,6311700
2020-02-24,283.489990,283.500000,249.350006,257.089996,253.671280,11519500
2020-03-02,259.600006,297.519989,250.380005,282.190002,278.437500,17780600
2020-03-09,264.000000,289.160004,251.050003,270.339996,266.745056,14867500
2020-03-16,226.500000,247.979996,185.690002,191.589996,189.745819,17668100
2020-03-23,188.539993,238.789993,171.029999,222.960007,220.813873,15179100
2020-03-30,224.660004,235.830002,199.169998,203.300003,201.343109,11680700
2020-04-06,215.509995,248.830002,212.179993,242.460007,240.126175,9705000
2020-04-13,240.779999,279.899994,237.649994,267.820007,265.242065,10278800
2020-04-20,262.480011,273.209991,249.300003,264.119995,261.577667,7367900
2020-04-27,267.559998,285.980011,262.000000,269.570007,266.975220,9004400
2020-05-04,268.000000,278.820007,265.010010,274.329987,271.689392,5299800
2020-05-11,270.940002,280.779999,262.239990,278.089996,275.413208,6655400
2020-05-18,284.970001,287.769989,275.579987,277.109985,274.442627,5433900
2020-05-25,283.769989,296.690002,277.570007,294.109985,291.278992,5758500
2020-06-01,293.230011,299.320007,279.540009,287.890015,285.118866,7321000
2020-06-08,286.350006,301.660004,259.299988,265.739990,263.182068,7962200
2020-06-15,257.829987,273.179993,250.880005,266.429993,264.701996,7593500
2020-06-22,265.000000,270.609985,253.270004,255.649994,253.991943,6852300
2020-06-29,258.149994,273.929993,256.739990,267.000000,265.268311,4679500
2020-07-06,271.369995,271.630005,253.750000,255.000000,253.346146,5080400
2020-07-13,256.390015,269.220001,256.010010,266.369995,264.642395,6804200
2020-07-20,266.119995,273.709991,258.839996,270.489990,268.735657,5981600
2020-07-27,269.000000,285.309998,263.269989,273.799988,272.024200,6899700
2020-08-03,275.220001,278.179993,267.720001,276.660004,274.865692,5177400
2020-08-10,277.089996,288.000000,276.239990,283.230011,281.393066,4244000
2020-08-17,283.510010,286.299988,280.549988,284.630005,282.783997,4181700
2020-08-24,286.769989,287.000000,266.799988,277.279999,275.481628,4946600
2020-08-31,276.209991,284.369995,270.500000,276.220001,274.428528,6740000
2020-09-07,275.000000,275.269989,254.479996,258.029999,256.356506,4647700
2020-09-14,258.989990,269.200012,258.519989,264.190002,263.413055,6678400
2020-09-21,257.239990,258.619995,244.100006,255.250000,254.499344,7848300
2020-09-28,258.829987,280.480011,255.779999,275.010010,274.201233,5589200
2020-10-05,276.980011,298.450012,276.679993,294.410004,293.544189,4835400
2020-10-12,295.429993,300.920013,287.170013,296.869995,295.996918,4476200
2020-10-19,296.000000,311.750000,290.209991,310.760010,309.846100,5333900
2020-10-26,307.609985,308.250000,269.010010,272.799988,271.997711,7600000
2020-11-02,278.190002,334.100006,270.440002,313.320007,312.398560,11911300
2020-11-09,334.980011,337.679993,314.429993,332.959991,331.980804,7820700
2020-11-16,335.920013,338.200012,304.670013,305.619995,304.721191,7656300
2020-11-23,307.700012,317.880005,306.660004,312.799988,311.880066,4186500
2020-11-30,311.790009,326.899994,309.339996,323.269989,322.319275,6328000
2020-12-07,321.519989,324.200012,310.160004,311.399994,311.399994,5948400
