Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,246.000000,253.490005,245.149994,252.279999,246.084320,20081700
2019-06-24,251.330002,252.630005,238.649994,244.009995,238.017426,20293200
2019-07-01,245.949997,248.759995,239.539993,246.990005,240.924240,13490600
2019-07-08,246.410004,266.519989,243.690002,265.899994,259.369904,23035200
2019-07-15,265.059998,268.690002,256.399994,256.649994,250.347000,19968400
2019-07-22,258.140015,258.950012,245.130005,252.940002,246.728134,18583000
2019-07-29,252.839996,257.160004,246.100006,250.050003,243.909103,13737900
2019-08-05,248.130005,250.419998,241.259995,248.630005,242.523972,17916900
2019-08-12,246.789993,250.460007,241.449997,245.690002,239.656189,14218600
2019-08-19,247.490005,248.490005,229.380005,230.660004,224.995300,17960300
2019-08-26,232.520004,235.050003,220.779999,234.000000,228.253265,20190600
2019-09-02,231.740005,232.949997,226.500000,229.000000,223.376053,16348500
2019-09-09,229.000000,236.559998,228.559998,233.610001,227.872864,20558200
2019-09-16,232.820007,236.050003,229.229996,232.889999,228.241806,17213800
2019-09-23,229.770004,230.779999,213.429993,215.259995,210.963684,28225300
2019-09-30,213.639999,219.860001,212.080002,219.800003,215.413071,22807400
2019-10-07,219.050003,228.850006,217.520004,222.070007,217.637772,24287100
2019-10-14,221.630005,246.410004,219.899994,245.339996,240.443314,34064900
2019-10-21,245.020004,251.750000,242.149994,244.910004,240.021912,17758400
2019-10-28,245.259995,256.329987,244.919998,252.210007,247.176224,16665100
2019-11-04,253.630005,258.339996,249.089996,256.970001,251.841202,18094800
2019-11-11,255.050003,275.570007,253.190002,269.399994,264.023102,19185800
2019-11-18,269.000000,278.450012,269.000000,276.839996,271.314606,21241300
2019-11-25,277.779999,283.000000,277.010010,279.869995,274.284149,10926300
2019-12-02,281.779999,283.040009,273.850006,280.190002,274.597778,14636700
2019-12-09,280.769989,287.809998,274.010010,285.480011,280.857788,14559200
2019-12-16,287.970001,300.000000,287.059998,292.589996,287.852692,22208500
2019-12-23,293.429993,296.540009,292.809998,295.970001,291.177979,5410600
2019-12-30,296.049988,296.540009,284.359985,289.540009,284.852081,8990700
2020-01-06,288.000000,297.380005,287.220001,295.130005,290.351532,14267300
2020-01-13,294.369995,300.989990,284.250000,298.470001,293.637482,27475000
2020-01-20,296.890015,302.540009,291.559998,292.809998,288.069153,14928500
2020-01-27,288.000000,288.369995,271.179993,272.450012,268.038788,22448600
